DAP,RTP,DA_Charge,DA_Discharge,SoC
29.7,22.6275,0.0,0.0,0.0
26.8,21.80333333333333,0.0,0.0,0.0
23.8,20.435833333333335,0.0,0.0,0.0
22.31,22.2675,0.5,0.0,0.5
21.3,20.49083333333333,0.0,0.5,0.0
21.24,22.660833333333333,0.5,0.0,0.5
21.51,23.253333333333334,0.5,0.0,1.0
23.9,21.66166666666666,0.0,0.0,1.0
27.69,24.300833333333333,0.0,0.0,1.0
29.18,25.444999999999997,0.0,0.5,0.5
30.61,27.272499999999997,0.5,0.0,1.0
29.55,24.8275,0.0,0.0,1.0
28.34,22.701666666666664,0.0,0.5,0.5
27.41,21.825,0.0,0.5,0.0
25.48,21.331666666666667,0.0,0.0,0.0
24.64,20.683333333333334,0.0,0.0,0.0
24.52,20.885833333333334,0.5,0.0,0.5
24.22,24.325833333333332,0.5,0.0,1.0
30.65,25.849166666666665,0.0,0.0,1.0
38.95,31.927083333333332,0.0,0.0,1.0
36.52,22.503333333333334,0.0,0.5,0.5
32.93,20.694166666666668,0.0,0.5,0.0
29.28,23.3875,0.0,0.0,0.0
27.84,22.993333333333336,0.0,0.0,0.0
24.81,24.264166666666668,0.5,0.0,0.5
23.49,22.4375,0.0,0.0,0.5
23.44,21.035,0.0,0.5,0.0
19.72,22.150833333333335,0.0,0.0,0.0
18.33,20.956666666666667,0.0,0.0,0.0
17.21,21.27333333333333,0.5,0.0,0.5
17.7,21.195,0.5,0.0,1.0
18.95,14.351666666666668,0.0,0.5,0.5
19.9,23.334999999999997,0.5,0.0,1.0
21.11,16.956666666666667,0.0,0.5,0.5
22.69,22.319166666666664,0.0,0.5,0.0
25.2,24.93083333333333,0.5,0.0,0.5
25.74,24.26166666666667,0.0,0.5,0.0
25.64,25.706666666666663,0.0,0.0,0.0
25.39,27.19583333333333,0.5,0.0,0.5
24.23,25.405833333333334,0.5,0.0,1.0
24.13,24.965833333333336,0.0,0.0,1.0
23.49,23.49416666666667,0.0,0.0,1.0
26.0,23.07166666666667,0.0,0.0,1.0
30.28,23.84166666666667,0.0,0.0,1.0
30.38,23.785833333333333,0.0,0.5,0.5
28.76,16.815,0.0,0.5,0.0
24.51,19.545833333333334,0.0,0.0,0.0
25.43,20.641666666666666,0.0,0.0,0.0
23.07,24.76,0.5,0.0,0.5
21.79,26.4025,0.5,0.0,1.0
23.43,23.0275,0.0,0.5,0.5
20.96,21.460833333333337,0.0,0.0,0.5
19.64,22.5,0.5,0.0,1.0
19.41,12.895000000000003,0.0,0.5,0.5
18.72,11.07,0.0,0.5,0.0
17.79,21.16083333333333,0.5,0.0,0.5
18.78,20.06666666666667,0.0,0.0,0.5
20.85,18.061666666666667,0.0,0.5,0.0
22.65,30.347499999999997,0.5,0.0,0.5
25.17,43.09,0.5,0.0,1.0
24.37,28.94083333333333,0.0,0.0,1.0
24.29,28.651666666666667,0.0,0.0,1.0
22.69,24.363333333333333,0.0,0.5,0.5
21.91,25.2975,0.5,0.0,1.0
21.58,21.9425,0.0,0.0,1.0
21.73,22.034166666666664,0.0,0.0,1.0
28.32,25.468333333333334,0.0,0.0,1.0
33.38,28.808333333333334,0.0,0.0,1.0
35.2,30.42833333333333,0.0,0.5,0.5
33.95,28.525833333333335,0.0,0.5,0.0
30.22,28.351666666666663,0.0,0.0,0.0
29.18,34.39666666666667,0.5,0.0,0.5
25.81,26.025833333333335,0.5,0.0,1.0
23.73,22.4725,0.0,0.0,1.0
26.06,22.076666666666664,0.0,0.0,1.0
24.24,20.201666666666664,0.0,0.0,1.0
23.5,16.119999999999997,0.0,0.5,0.5
