DAP,RTP,DA_Charge,DA_Discharge,SoC
37.05,24.519166666666667,0.0,0.0,0.0
37.24,28.963333333333335,0.5,0.0,0.5
39.73,31.135833333333334,0.0,0.0,0.5
50.01,34.31666666666667,0.0,0.5,0.0
61.59,75.55250000000001,0.5,0.0,0.5
54.34,63.72583333333333,0.5,0.0,1.0
52.07,32.32583333333334,0.0,0.5,0.0
44.9,29.948333333333334,0.0,0.0,0.0
41.93,27.255000000000006,0.0,0.0,0.0
34.27,28.385416666666668,0.5,0.0,0.5
31.97,22.98,0.0,0.5,0.0
30.2,28.008333333333336,0.0,0.0,0.0
24.62,24.507499999999997,0.0,0.0,0.0
23.22,23.647500000000004,0.5,0.0,0.5
22.59,22.569166666666664,0.5,0.0,1.0
23.69,19.813333333333333,0.0,0.5,0.5
26.04,22.72,0.5,0.0,1.0
35.47,24.599166666666665,0.0,0.5,0.5
38.13,28.9175,0.0,0.5,0.0
38.97,30.200833333333332,0.5,0.0,0.5
38.27,30.742499999999996,0.5,0.0,1.0
42.75,28.301666666666666,0.0,0.5,0.5
38.16,27.034999999999997,0.0,0.5,0.0
35.81,26.755,0.5,0.0,0.5
35.25,25.165000000000003,0.5,0.0,1.0
34.97,24.57166666666667,0.0,0.0,1.0
35.77,24.465000000000003,0.0,0.5,0.5
41.72,30.829166666666666,0.5,0.0,1.0
55.64,29.343333333333334,0.0,0.5,0.5
54.52,36.22833333333333,0.0,0.0,0.5
47.64,26.49833333333333,0.0,0.5,0.0
42.3,25.198333333333327,0.0,0.0,0.0
40.01,23.647499999999997,0.0,0.0,0.0
33.56,24.094166666666663,0.0,0.0,0.0
29.58,22.263333333333335,0.0,0.0,0.0
27.06,20.96166666666667,0.0,0.0,0.0
22.73,22.734166666666667,0.5,0.0,0.5
21.71,21.018333333333334,0.0,0.5,0.0
21.62,22.779166666666658,0.5,0.0,0.5
21.94,23.83666666666667,0.5,0.0,1.0
27.42,21.94,0.0,0.0,1.0
31.09,24.7225,0.0,0.0,1.0
36.73,25.8175,0.0,0.5,0.5
36.14,28.04583333333333,0.5,0.0,1.0
35.12,25.5025,0.0,0.0,1.0
34.68,23.2025,0.0,0.5,0.5
33.12,22.2675,0.0,0.5,0.0
30.28,21.704166666666666,0.0,0.0,0.0
29.64,21.072499999999998,0.0,0.0,0.0
29.77,21.32083333333333,0.5,0.0,0.5
31.17,24.834999999999997,0.5,0.0,1.0
36.42,26.53,0.0,0.0,1.0
45.8,33.05375,0.0,0.0,1.0
42.48,25.7175,0.0,0.5,0.5
39.95,21.374999999999996,0.0,0.5,0.0
35.97,24.065,0.0,0.0,0.0
33.03,23.572500000000005,0.0,0.0,0.0
27.57,24.87833333333333,0.0,0.0,0.0
25.47,22.918333333333337,0.0,0.0,0.0
23.85,21.43916666666667,0.0,0.0,0.0
20.11,22.65833333333333,0.5,0.0,0.5
18.7,21.205833333333334,0.0,0.5,0.0
17.54,21.77291666666667,0.5,0.0,0.5
17.98,21.70333333333333,0.5,0.0,1.0
19.51,14.784166666666666,0.0,0.5,0.5
20.49,24.079166666666666,0.5,0.0,1.0
21.77,19.734999999999996,0.0,0.5,0.5
23.38,22.891666666666666,0.5,0.0,1.0
27.81,25.6425,0.0,0.0,1.0
30.92,24.98,0.0,0.5,0.5
31.53,26.307499999999994,0.0,0.5,0.0
31.25,27.878333333333334,0.5,0.0,0.5
30.14,26.102500000000003,0.5,0.0,1.0
31.15,25.568333333333328,0.0,0.0,1.0
31.56,24.015,0.0,0.0,1.0
38.63,23.633333333333336,0.0,0.0,1.0
51.4,24.4525,0.0,0.5,0.5
44.27,24.414999999999996,0.0,0.0,0.5
37.23,17.205833333333334,0.0,0.5,0.0
32.7,20.087500000000002,0.0,0.0,0.0
30.47,21.2325,0.0,0.0,0.0
24.89,25.43583333333333,0.0,0.0,0.0
23.54,26.750833333333336,0.5,0.0,0.5
23.7,23.593333333333334,0.0,0.5,0.0
21.23,21.939999999999998,0.5,0.0,0.5
19.9,23.01833333333333,0.5,0.0,1.0
19.62,13.230000000000002,0.0,0.5,0.5
18.84,11.362499999999999,0.0,0.5,0.0
18.13,21.874166666666667,0.5,0.0,0.5
19.06,20.575833333333332,0.0,0.0,0.5
21.16,18.44,0.0,0.5,0.0
22.99,30.21666666666667,0.0,0.0,0.0
