DAP,RTP,DA_Charge,DA_Discharge,SoC
11.98,17.80333333333333,0.0,0.0,1.0
13.0,17.39916666666667,0.0,0.0,1.0
15.92,13.8125,0.0,0.5,0.5
16.12,20.88083333333333,0.5,0.0,1.0
18.59,22.314999999999998,0.0,0.5,0.5
18.63,27.821249999999996,0.5,0.0,1.0
26.76,19.653333333333332,0.0,0.5,0.5
25.4,18.12083333333333,0.0,0.5,0.0
21.21,20.354166666666668,0.0,0.0,0.0
20.29,19.532500000000002,0.0,0.0,0.0
17.12,21.305833333333332,0.5,0.0,0.5
16.69,19.560833333333335,0.0,0.0,0.5
16.09,18.56,0.0,0.5,0.0
14.64,19.819166666666664,0.5,0.0,0.5
13.73,8.854166666666666,0.0,0.5,0.0
12.66,18.48,0.5,0.0,0.5
14.0,19.116666666666664,0.5,0.0,1.0
14.38,12.886666666666665,0.0,0.5,0.5
15.03,21.023333333333337,0.5,0.0,1.0
17.0,14.204166666666667,0.0,0.5,0.5
17.43,19.744166666666665,0.0,0.5,0.0
18.74,21.6675,0.5,0.0,0.5
18.8,21.340833333333336,0.0,0.0,0.5
18.8,19.9975,0.0,0.5,0.0
17.45,22.190833333333334,0.0,0.0,0.0
16.74,22.259166666666662,0.5,0.0,0.5
16.99,21.757500000000004,0.5,0.0,1.0
16.76,18.881666666666668,0.0,0.0,1.0
18.68,19.9075,0.0,0.0,1.0
21.68,19.238333333333333,0.0,0.0,1.0
22.77,18.092499999999998,0.0,0.5,0.5
21.12,14.786666666666667,0.0,0.5,0.0
17.86,16.584166666666665,0.0,0.0,0.0
16.06,16.952499999999997,0.0,0.0,0.0
14.09,20.9075,0.5,0.0,0.5
12.2,14.005833333333333,0.0,0.5,0.0
9.99,20.563333333333336,0.5,0.0,0.5
10.19,19.421666666666663,0.0,0.0,0.5
9.66,20.5825,0.5,0.0,1.0
9.0,11.802499999999997,0.0,0.5,0.5
9.01,10.113333333333333,0.0,0.5,0.0
9.15,19.18916666666667,0.5,0.0,0.5
9.92,16.769166666666663,0.5,0.0,1.0
9.92,10.2525,0.0,0.0,1.0
9.91,-3.420833333333333,0.0,0.5,0.5
12.2,2.1175,0.0,0.5,0.0
13.61,8.18,0.0,0.0,0.0
13.68,15.685,0.0,0.0,0.0
13.65,17.971666666666668,0.5,0.0,0.5
13.0,16.71666666666667,0.5,0.0,1.0
13.07,8.994166666666667,0.0,0.5,0.5
13.84,7.226666666666667,0.0,0.5,0.0
16.49,14.669166666666667,0.5,0.0,0.5
23.98,23.174166666666668,0.5,0.0,1.0
23.39,21.353333333333335,0.0,0.5,0.5
24.65,15.122500000000002,0.0,0.5,0.0
21.5,16.463333333333335,0.0,0.0,0.0
17.56,29.51000000000001,0.5,0.0,0.5
16.35,22.560833333333335,0.5,0.0,1.0
15.95,19.595,0.0,0.0,1.0
16.02,19.355,0.0,0.0,1.0
15.72,17.894166666666667,0.0,0.0,1.0
14.57,14.338333333333336,0.0,0.5,0.5
14.41,14.995,0.0,0.5,0.0
15.52,18.570833333333336,0.5,0.0,0.5
16.79,21.738333333333333,0.5,0.0,1.0
27.59,27.3775,0.0,0.0,1.0
30.2,24.599999999999998,0.0,0.0,1.0
31.55,21.080000000000002,0.0,0.0,1.0
30.93,19.030833333333334,0.0,0.5,0.5
29.64,19.2875,0.5,0.0,1.0
27.57,16.763333333333332,0.0,0.5,0.5
24.75,11.155833333333335,0.0,0.5,0.0
21.88,25.166666666666668,0.0,0.0,0.0
21.01,27.059166666666673,0.5,0.0,0.5
18.62,22.905,0.5,0.0,1.0
25.04,20.600833333333334,0.0,0.0,1.0
39.73,27.766666666666666,0.0,0.5,0.5
34.55,28.40833333333333,0.0,0.0,0.5
25.78,28.924166666666668,0.0,0.5,0.0
18.24,59.51916666666667,0.5,0.0,0.5
15.02,24.555833333333336,0.0,0.5,0.0
12.08,23.599166666666665,0.5,0.0,0.5
10.76,21.10666666666667,0.5,0.0,1.0
9.9,9.3925,0.0,0.5,0.5
9.9,1.9933333333333332,0.0,0.5,0.0
9.88,18.679166666666664,0.5,0.0,0.5
9.87,21.138333333333332,0.5,0.0,1.0
9.85,16.255000000000003,0.0,0.0,1.0
9.77,2.045,0.0,0.5,0.5
12.74,8.483333333333333,0.0,0.5,0.0
13.01,18.66638888888889,0.5,0.0,0.5
17.17,17.63416666666667,0.0,0.0,0.5
18.48,16.810000000000002,0.0,0.5,0.0
18.53,22.185,0.0,0.0,0.0
18.5,23.816666666666666,0.5,0.0,0.5
18.61,22.608333333333334,0.0,0.0,0.5
18.69,25.55916666666666,0.5,0.0,1.0
20.48,23.059166666666666,0.0,0.5,0.5
19.54,22.344166666666666,0.5,0.0,1.0
