DAP,RTP,DA_Charge,DA_Discharge,SoC
22.56,28.698333333333338,0.0,0.5,0.5
22.76,28.615,0.0,0.5,0.0
25.6,34.865,0.0,0.0,0.0
26.21,46.05916666666667,0.5,0.0,0.5
33.83,47.8325,0.5,0.0,1.0
41.24,49.81333333333333,0.0,0.0,1.0
37.38,37.54916666666667,0.0,0.5,0.5
32.68,37.4775,0.0,0.5,0.0
31.72,108.63555555555554,0.5,0.0,0.5
30.73,38.385,0.5,0.0,1.0
28.88,28.090833333333336,0.0,0.0,1.0
29.03,26.574166666666667,0.0,0.5,0.5
28.68,24.476666666666663,0.0,0.5,0.0
28.82,29.659583333333334,0.5,0.0,0.5
33.63,31.580833333333334,0.0,0.0,0.5
43.33,36.08583333333333,0.0,0.5,0.0
39.29,43.38833333333333,0.5,0.0,0.5
34.04,31.195833333333336,0.5,0.0,1.0
29.67,25.570833333333336,0.0,0.5,0.5
27.11,22.410833333333333,0.0,0.5,0.0
22.0,26.770833333333332,0.0,0.0,0.0
19.97,30.675833333333326,0.5,0.0,0.5
19.96,30.97083333333333,0.5,0.0,1.0
19.63,25.665833333333335,0.0,0.0,1.0
16.86,15.451666666666666,0.0,0.5,0.5
15.56,9.811666666666666,0.0,0.5,0.0
15.62,32.285000000000004,0.5,0.0,0.5
19.41,35.461666666666666,0.0,0.0,0.5
23.15,39.901666666666664,0.5,0.0,1.0
28.84,27.2925,0.0,0.5,0.5
27.53,29.358333333333334,0.0,0.5,0.0
27.3,37.84916666666667,0.5,0.0,0.5
28.0,38.725833333333334,0.5,0.0,1.0
26.77,29.796666666666667,0.0,0.0,1.0
24.99,20.004166666666666,0.0,0.0,1.0
23.83,9.358333333333333,0.0,0.0,1.0
25.71,7.52,0.0,0.5,0.5
25.86,8.7175,0.0,0.5,0.0
29.71,21.301666666666666,0.5,0.0,0.5
41.27,32.73916666666667,0.0,0.5,0.0
40.0,98.03500000000001,0.5,0.0,0.5
33.51,49.432500000000005,0.5,0.0,1.0
31.47,38.535,0.0,0.5,0.5
28.37,32.29694444444444,0.0,0.5,0.0
25.1,40.90833333333334,0.5,0.0,0.5
25.64,36.76500000000001,0.5,0.0,1.0
32.37,34.370000000000005,0.0,0.0,1.0
31.87,32.22666666666667,0.0,0.5,0.5
30.87,33.02666666666667,0.5,0.0,1.0
30.72,31.45333333333333,0.0,0.0,1.0
31.55,30.820833333333336,0.0,0.0,1.0
